fountaintype,position,propname,borough,fountaincount,district,point
D,Out in Open,Betsy Head Park,B,1,"D, Out in Open"," (-73.91314195077493,40.663381050966144)"
A,,Herbert Von King Park,B,1,"A,"," (-73.94577305488079,40.69007899619531)"
C,In Playground,Pink Playground,B,1,"C, In Playground"," (-73.8625945007143,40.66670139097241)"
CS Metal,,Central Park,M,1,"CS Metal,"," (-73.96154034939028,40.78086235101139)"
A,Near Ballfield,Isham Park,M,1,"A, Near Ballfield"," (-73.92060211929697,40.87040904683878)"
D,,Albert Capsouto Park,M,1,"D,"," (-74.0057269536085,40.72192421895415)"
A,,Chelsea Park,M,1,"A,"," (-74.00013931631594,40.74963215326909)"
Stone,,Fort Tryon Park,M,1,"Stone,"," (-73.93329236599743,40.861892078366)"
D,"Under Tree, In Shade",Kissena Park,Q,1,"D, Under Tree, In Shade"," (-73.80654244304935,40.74904130915309)"
A,In Playground,Fresh Meadows Playground,Q,1,"A, In Playground"," (-73.79611141219668,40.73443790765743)"
A,,Willowbrook Park,R,1,"A,"," (-74.16107580777779,40.603722357959064)"
A,Out in Open,North Shore Esplanade,R,1,"A, Out in Open"," (-74.08383941848027,40.64821127100722)"
C,Out in Open,Devoe Park,X,1,"C, Out in Open"," (-73.9055094815747,40.863494178779106)"
A,Out in Open,Wolfe's Pond Park,R,1,"A, Out in Open"," (-74.18984105827948,40.51667706198994)"
C,,Story Playground,X,1,"C,"," (-73.8629957734205,40.822277567029)"
C,Near Ballfield,Julio Carballo Fields,X,1,"C, Near Ballfield"," (-73.88923359212791,40.81623160952126)"
A,Out in Open,Sohncke Square,Q,1,"A, Out in Open"," (-73.90618930166747,40.745505372462794)"
E,"Out in Open, Near Ballfield",West Playground,B,1,"E, Out in Open, Near Ballfield"," (-73.97006482039669,40.587477497033106)"
Bottle Filler High Low,Out in Open,Hilltop Playground,B,3,"Bottle Filler High Low, Out in Open"," (-73.9143941909124,40.67528808897897)"
A,Near Ballfield,McCarren Park,B,1,"A, Near Ballfield"," (-73.95497355338944,40.72177137196251)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.83635227073438,40.747218069787166)"
C,In Playground,Lieutenant John H. Martinson Playground,R,1,"C, In Playground"," (-74.16250293245068,40.53674267345768)"
E and Dog,"Out in Open, Under Tree",Central Park,M,2,"E and Dog, Out in Open, Under Tree"," (-73.95893688489377,40.79728187330268)"
D,"In Playground, Near Ballfield",Little Flower Playground,M,1,"D, In Playground, Near Ballfield"," (-73.98849687105196,40.712428931065695)"
Other,,Ten Eyck Playground,B,1,"Other,"," (-73.93858592992899,40.70885680328043)"
B,Near Ballfield,Clove Lakes Park,R,1,"B, Near Ballfield"," (-74.10728640995167,40.61819022796676)"
C,Near Ballfield,Breininger Park,Q,1,"C, Near Ballfield"," (-73.72903465088312,40.72562713220435)"
Indoor Drinking Fountain,Indoor,Stuyvesant Square,M,1,"Indoor Drinking Fountain, Indoor"," (-73.98454774307677,40.73321432625797)"
Other,,Central Park,M,1,"Other,"," (-73.96604478201715,40.78418939285894)"
D,Out in Open,Beach 9 Playground,Q,1,"D, Out in Open"," (-73.7445977380367,40.59547823990937)"
E,Out in Open,Manhattan Beach Park,B,1,"E, Out in Open"," (-73.94294054576132,40.57676235071972)"
A,"Under Tree, In Playground, Near Ballfield",Wagner Houses Pool,M,1,"A, Under Tree, In Playground, Near Ballfield"," (-73.93276430600275,40.801662336280955)"
Indoor Drinking Fountain,Indoor,Jackie Robinson Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.94244846811708,40.824269236153)"
A,"Under Tree, Near Ballfield, In Playground",Happy Warrior Playground,M,1,"A, Under Tree, Near Ballfield, In Playground"," (-73.96885230844794,40.79529278822972)"
E High Low,In Playground,Bowne Park,Q,2,"E High Low, In Playground"," (-73.80592195381918,40.77044694516576)"
E High Low,"Under Tree, In Playground",Tompkins Square Park,M,2,"E High Low, Under Tree, In Playground"," (-73.98254325129749,40.72664187919428)"
Bottle Filler Fountain,Indoor,St. John's Park,B,2,"Bottle Filler Fountain, Indoor"," (-73.93489094490425,40.673861865576676)"
C,Just Outside Playground,Laurelton Playground,Q,1,"C, Just Outside Playground"," (-73.7363053898662,40.67043999110493)"
D,"Out in Open, In Playground",Andries Playground,B,1,"D, Out in Open, In Playground"," (-73.94639522948529,40.6230415279329)"
E High Low,"Just Outside Playground, Near Ballfield",Asser Levy Playground,M,2,"E High Low, Just Outside Playground, Near Ballfield"," (-73.97619653840809,40.73610927227726)"
A,"Out in Open, Near Ballfield",McGuire Fields,B,1,"A, Out in Open, Near Ballfield"," (-73.8987132515359,40.61807228500699)"
C,In Playground,Sean's Place,Q,1,"C, In Playground"," (-73.91844405646177,40.76074659077644)"
E,In Playground,J.J. Byrne Playground,B,1,"E, In Playground"," (-73.98441728356667,40.67262218893641)"
Indoor Drinking Fountain,Indoor,Blood Root Valley,R,1,"Indoor Drinking Fountain, Indoor"," (-74.13925361229164,40.591772415095875)"
A,Near Ballfield,Kissena Park,Q,1,"A, Near Ballfield"," (-73.81089096196408,40.7458655766431)"
C,"In Playground, Out in Open",Fort Washington Park,M,1,"C, In Playground, Out in Open"," (-73.94748355238498,40.84110416603371)"
D,Near Ballfield,Beach 30th Street Playground,Q,1,"D, Near Ballfield"," (-73.76382229409468,40.59270746802031)"
Trough,Out in Open,Rockaway Beach Boardwalk,Q,1,"Trough, Out in Open"," (-73.80928066322126,40.584894257751394)"
A,"Under Tree, In Playground",Playground 174,X,1,"A, Under Tree, In Playground"," (-73.87780671522528,40.83451260489039)"
Bottle Filler High Low,,John Allen Payne Playground,B,3,"Bottle Filler High Low,"," (-74.0237062584764,40.639604763949876)"
Bottle Filler High Low,,Prospect Park,B,3,"Bottle Filler High Low,"," (-73.97577255385427,40.66016516783188)"
A,"Under Tree, In Playground",The Painter's Playground,Q,1,"A, Under Tree, In Playground"," (-73.85978446921648,40.72043656161517)"
E and Dog,Out in Open,Little Bay Park,Q,2,"E and Dog, Out in Open"," (-73.79278861514314,40.78789172162487)"
Indoor Drinking Fountain,Indoor,Forest Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.85859782385609,40.700871898487314)"
E,Near Ballfield,John V. Lindsay East River Park,M,1,"E, Near Ballfield"," (-73.97474198078342,40.71573698704873)"
A,"Just Outside Playground, Near Ballfield, Under Tree",Playground One,M,1,"A, Just Outside Playground, Near Ballfield, Under Tree"," (-73.99727546182108,40.71214363615538)"
E,"Under Tree, Near Ballfield",John V. Lindsay East River Park,M,1,"E, Under Tree, Near Ballfield"," (-73.97790068391477,40.71089241719022)"
A,In Playground,East Springfield Playground,Q,1,"A, In Playground"," (-73.73998101275302,40.698671659257165)"
Other,Under Tree,West Harlem Piers,M,1,"Other, Under Tree"," (-73.960257069936,40.819868791185094)"
A,Near Ballfield,Baisley Pond Park,Q,1,"A, Near Ballfield"," (-73.78644251478116,40.68137364107145)"
C,In Playground,Caserta Playground,X,1,"C, In Playground"," (-73.85391291288138,40.83743206389537)"
D,"Near Ballfield, Out in Open",Flushing Fields,Q,1,"D, Near Ballfield, Out in Open"," (-73.81704463194201,40.774971888777046)"
C,In Playground,Juniper Valley Park,Q,1,"C, In Playground"," (-73.88320112082361,40.718264172067386)"
Indoor Drinking Fountain,Indoor,Prospect Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.97370645920105,40.666899529466434)"
Indoor Drinking Fountain,Indoor,Gertrude Ederle Recreation Center,M,1,"Indoor Drinking Fountain, Indoor"," (-73.98874073886917,40.77145868171096)"
E,In Playground,Central Park,M,1,"E, In Playground"," (-73.9574322227746,40.799818550472324)"
D,Just Outside Playground,Thomas Greene Playground,B,1,"D, Just Outside Playground"," (-73.9846498598929,40.68007126294695)"
E,Near Ballfield,Bellevue South Park,M,1,"E, Near Ballfield"," (-73.9782881818933,40.73989282309585)"
Trough,Out in Open,Estella Diggs Park,X,1,"Trough, Out in Open"," (-73.91699772228085,40.846110108752356)"
Indoor Drinking Fountain,Indoor,Flushing Meadows Corona Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.83742404772734,40.75176191263366)"
C,Near Ballfield,Prall Playground,R,1,"C, Near Ballfield"," (-74.11850633772839,40.62839876305807)"
E,"Out in Open, Under Tree",Riverside Park,M,1,"E, Out in Open, Under Tree"," (-73.97944009542248,40.79156381745945)"
C,"Under Tree, Out in Open, In Playground",Power Playground,B,1,"C, Under Tree, Out in Open, In Playground"," (-73.9271327698568,40.618179133211136)"
E,Under Tree,The Battery,M,1,"E, Under Tree"," (-74.01676046873212,40.70289570636866)"
J,Out_in_Open,Crotona Park,X,1,"J, Out_in_Open"," (-73.8980916702542,40.84037827710836)"
Bottle Filler High Low,,Hope Ballfield,B,3,"Bottle Filler High Low,"," (-73.91707787325163,40.69722792377995)"
C,"Under Tree, In Shade",Colonel David Marcus Playground,B,1,"C, Under Tree, In Shade"," (-73.97021424670208,40.609457975986984)"
C,"Out in Open, In Playground",Golconda Playground,B,1,"C, Out in Open, In Playground"," (-73.98286366019317,40.69770364603669)"
CS Metal,Just Outside Playground,Stockton Playground,B,1,"CS Metal, Just Outside Playground"," (-73.94864625249735,40.697124314894495)"
Indoor Drinking Fountain,Indoor,Marine Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.93744851784878,40.60786155170257)"
A,Near Ballfield,Whitey Ford Field,Q,1,"A, Near Ballfield"," (-73.93450701532001,40.777273057484464)"
E,In Playground,P.O. Serrano Playground,X,1,"E, In Playground"," (-73.85046863486137,40.82357314632356)"
Bottle Filler Fountain,Indoor,Arsenal West,M,2,"Bottle Filler Fountain, Indoor"," (-73.98292001587743,40.769783520604335)"
A,In Playground,Mother Cabrini Park,B,1,"A, In Playground"," (-74.00511839234181,40.684325661312634)"
Indoor Drinking Fountain,Indoor,Sheltering Arms Playground,M,1,"Indoor Drinking Fountain, Indoor"," (-73.95541331542408,40.8150757280123)"
Bottle Filler High Low,,Little Claremont Playground,X,3,"Bottle Filler High Low,"," (-73.9039598621644,40.83876305398165)"
E,"Near Ballfield, Under Tree, In Shade",Central Park,M,1,"E, Near Ballfield, Under Tree, In Shade"," (-73.95786912244233,40.790269026737064)"
C,"In Shade, Near Ballfield",Reiff Playground,Q,1,"C, In Shade, Near Ballfield"," (-73.90135634575167,40.718378167514466)"
B,Under tree,Flushing Meadows Corona Park,Q,1,"B, Under tree"," (-73.84383447036267,40.763077697375266)"
C,"Under Tree, In Playground, In Shade",William Sheridan Playground,B,1,"C, Under Tree, In Playground, In Shade"," (-73.96398420401466,40.71546454022127)"
C,"Under Tree, In Shade",Harlem River Park,M,1,"C, Under Tree, In Shade"," (-73.93458610654928,40.80794734464028)"
A,"Under Tree, In Playground",Torsney Playground,Q,1,"A, Under Tree, In Playground"," (-73.92265880599473,40.74721251432262)"
A,Out in Open,Daniel M. O'Connell Playground,Q,1,"A, Out in Open"," (-73.75811304500806,40.700046640123205)"
A,"Out in Open, In Playground",Ehrenreich-Austin Playground,Q,1,"A, Out in Open, In Playground"," (-73.83713723108363,40.715919531263154)"
Bottle Filler Fountain,,Brooklyn Bridge Park,B,2,"Bottle Filler Fountain,"," (-73.99014808405194,40.704065677164465)"
A,Out in Open,Bridge Park 3,B,1,"A, Out in Open"," (-73.98487308956838,40.70045155521345)"
D,Just Outside Playground,Josephine Caminiti Playground,Q,1,"D, Just Outside Playground"," (-73.86166462986172,40.74376524038761)"
Bottle Filler High Low,Out in Open,Prospect Park,B,3,"Bottle Filler High Low, Out in Open"," (-73.9787995932386,40.66157561227534)"
D,Out_in_Open,Roy Wilkins Recreation Center,Q,1,"D, Out_in_Open"," (-73.77412874805688,40.687510018118445)"
B,Near Ballfield,Bill Rainey Park,X,1,"B, Near Ballfield"," (-73.89884513668771,40.818077774820196)"
C,"Under Tree, In Shade, In Playground",Sternberg Park,B,1,"C, Under Tree, In Shade, In Playground"," (-73.94737153124885,40.705659686822244)"
A,Under Tree,Rochdale Park,Q,1,"A, Under Tree"," (-73.77340260788353,40.674942242890886)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.97615204446086,40.57345080416013)"
F High Low,Out in Open,Betsy Head Park,B,2,"F High Low, Out in Open"," (-73.91173560511743,40.66425995354405)"
A,"Under Tree, Near Ballfield, Just Outside Playground",Columbus Park,M,1,"A, Under Tree, Near Ballfield, Just Outside Playground"," (-73.9997552693635,40.714191230993706)"
CS Metal,In Playground,Kissena Corridor Park,Q,1,"CS Metal, In Playground"," (-73.81482626014056,40.74345111891934)"
E,,Brooklyn Heights Promenade,B,1,"E,"," (-73.99617593696658,40.699688104056406)"
D,"Under Tree, In Shade, Near Ballfield",McGuire Fields,B,1,"D, Under Tree, In Shade, Near Ballfield"," (-73.90015873986698,40.61941288294649)"
C,"Out in Open, Near Ballfield, In Playground",Nautilus Playground,B,1,"C, Out in Open, Near Ballfield, In Playground"," (-73.99652254282589,40.57171403113369)"
A,"Out in Open, Near Ballfield",Cunningham Park,Q,1,"A, Out in Open, Near Ballfield"," (-73.7695484645158,40.734615746510585)"
E,"Under Tree, Out in Open",Central Park,M,1,"E, Under Tree, Out in Open"," (-73.97683075347074,40.771759283200275)"
C,In Playground,McLaughlin Playground,Q,1,"C, In Playground"," (-73.76627100776184,40.725434083110954)"
A,,Forest Park,Q,1,"A,"," (-73.85557480689319,40.70054419879648)"
E,Out in Open,Parade Ground,B,1,"E, Out in Open"," (-73.96990721568723,40.648963415931405)"
A,Out in Open,John Jay Park,M,1,"A, Out in Open"," (-73.94981936556829,40.76894503025153)"
D,In Playground,Marconi Park,Q,1,"D, In Playground"," (-73.79546503749,40.69403327309522)"
C,"Near Ballfield, Just Outside Playground",Morningside Park,M,1,"C, Near Ballfield, Just Outside Playground"," (-73.95877004627857,40.80298224772209)"
B,Out in Open,Central Park,M,1,"B, Out in Open"," (-73.9677196444497,40.772583458265885)"
Trough,Just Outside Playground,Schmul Park,R,1,"Trough, Just Outside Playground"," (-74.18793961253452,40.590134200366705)"
E High Low,"Under Tree, Near Ballfield, Just Outside Playground",Asser Levy Playground,M,2,"E High Low, Under Tree, Near Ballfield, Just Outside Playground"," (-73.97575820330825,40.73655781199586)"
CS Metal,Indoor,Prospect Park,B,1,"CS Metal, Indoor"," (-73.96546888381246,40.66536474390884)"
C,In Playground,South Pacific Playground,B,1,"C, In Playground"," (-73.92045244963452,40.67547440061663)"
C,Out in Open,Flushing Meadows Corona Park,Q,1,"C, Out in Open"," (-73.84493954059175,40.762454009429796)"
A,Near Ballfield,Challenge Playground,Q,1,"A, Near Ballfield"," (-73.7281105055527,40.75678858046976)"
A,"Under Tree, In Playground, Near Ballfield",Howard Bennett Playground,M,1,"A, Under Tree, In Playground, Near Ballfield"," (-73.93872857923715,40.81384602181845)"
D,"Under Tree, In Playground, Near Ballfield",Alexander Hamilton Playground,M,1,"D, Under Tree, In Playground, Near Ballfield"," (-73.95141488253765,40.82300621000368)"
Pedestal,In Shade,East River Waterfront Esplanade,M,1,"Pedestal, In Shade"," (-74.00694261723046,40.70355945336488)"
CS Metal,"In Shade, In Playground",Wakefield Playground,X,1,"CS Metal, In Shade, In Playground"," (-73.85475746204509,40.90178955671087)"
F High Low,,,M,2,"F High Low,"," (-74.00454280686739,40.72498333698415)"
E,In Playground,Stapleton Playground,R,1,"E, In Playground"," (-74.0792508385633,40.62266148329362)"
A,"Under Tree, Out in Open",John Paul Jones Park,B,1,"A, Under Tree, Out in Open"," (-74.03290067954666,40.61089027489943)"
CS Concrete,"Under Tree, Out in Open, Just Outside Playground",Glenwood Playground,B,1,"CS Concrete, Under Tree, Out in Open, Just Outside Playground"," (-73.92011111970969,40.63663302771567)"
E,"In Playground, Out in Open",Dome Playground,B,1,"E, In Playground, Out in Open"," (-73.9801436954374,40.63809872465218)"
C,"Near Ballfield, Under Tree",Thomas Jefferson Park,M,1,"C, Near Ballfield, Under Tree"," (-73.93648087648654,40.79395993245928)"
Indoor Drinking Fountain,Indoor,Red Hook Recreation Area,B,1,"Indoor Drinking Fountain, Indoor"," (-74.00404472482211,40.67238288416279)"
E,"Under Tree, In Shade",Central Park,M,1,"E, Under Tree, In Shade"," (-73.94991467190484,40.79682749793061)"
A,In Playground,Rockaway Beach Boardwalk,Q,1,"A, In Playground"," (-73.80879690388855,40.58543673548413)"
Bottle Filler High Low,In Playground,Grassmere Playground,Q,3,"Bottle Filler High Low, In Playground"," (-73.75927054805454,40.59960247347979)"
B,"Out in Open, In Playground",Sunners Playground,B,1,"B, Out in Open, In Playground"," (-73.92956440427976,40.632596873743054)"
C,Under Tree,Tompkinsville Park,R,1,"C, Under Tree"," (-74.07651675902791,40.637418191033575)"
A,In Playground,D'Emic Playground,B,1,"A, In Playground"," (-74.00463996804507,40.6559666909907)"
C,Out in Open,Pelham Bay Park,X,1,"C, Out in Open"," (-73.79440808857389,40.86588424927552)"
A,In_Playground,Baisley Pond Park,Q,1,"A, In_Playground"," (-73.78651840774822,40.68486216105866)"
CS Concrete,Just Outside Playground,Underwood Park,B,1,"CS Concrete, Just Outside Playground"," (-73.96671726587589,40.68883864711972)"
B,Out in Open,Flushing Meadows Corona Park,Q,1,"B, Out in Open"," (-73.85374185989517,40.76008516417603)"
A,Under Tree,Forest Park,Q,1,"A, Under Tree"," (-73.85441680836135,40.701215730370336)"
F High Low,Near Ballfield,Pelham Bay Park,X,2,"F High Low, Near Ballfield"," (-73.81988311720148,40.851077255658524)"
Indoor Drinking Fountain,Indoor,Tony Dapolito Recreation Center,M,1,"Indoor Drinking Fountain, Indoor"," (-74.00543462757858,40.72962915757688)"
E and Dog,Under Tree,Carl Schurz Park,M,2,"E and Dog, Under Tree"," (-73.94301797781716,40.77572134079004)"
A,"Out in Open, In Playground",Asser Levy Park,B,1,"A, Out in Open, In Playground"," (-73.97222691113014,40.574324440546995)"
C,"Under Tree, In Playground",Hermon A. MacNeil Park,Q,1,"C, Under Tree, In Playground"," (-73.85151666649465,40.793514362596504)"
Trough High Low,Near Ballfield,Soundview Park,X,2,"Trough High Low, Near Ballfield"," (-73.87782604036218,40.818926274770185)"
E,"Under Tree, In Shade, Out in Open, In Playground",Oxport Playground,B,1,"E, Under Tree, In Shade, Out in Open, In Playground"," (-73.97644941628674,40.697711186914724)"
C,In Playground,Friends Field,B,1,"C, In Playground"," (-73.97267765700633,40.61881914216551)"
C,Under Tree,Sara D. Roosevelt Park,M,1,"C, Under Tree"," (-73.99248876480674,40.7202990819864)"
CS Metal,,Wagner Houses Pool,M,1,"CS Metal,"," (-73.93300120227777,40.801769023975574)"
B,Out in Open,Fort Greene Park,B,1,"B, Out in Open"," (-73.97533594931137,40.69064605174568)"
E High Low,"Out in Open, Near Ballfield",Prospect Park,B,2,"E High Low, Out in Open, Near Ballfield"," (-73.97367596464233,40.661114233306435)"
A,Out in Open,Flushing Meadows Corona Park,Q,1,"A, Out in Open"," (-73.84584063031606,40.745481422941396)"
A,Under Tree,Francis Lewis Park,Q,1,"A, Under Tree"," (-73.82520201402417,40.79589653081398)"
C,"Out in Open, In Playground",Chiarantano Playground,B,1,"C, Out in Open, In Playground"," (-73.93351145663559,40.6368153499445)"
C,Near Ballfield,Broad Channel American Park,Q,1,"C, Near Ballfield"," (-73.82282949466799,40.59601166596354)"
A,Near Ballfield,Coleman Playground,M,1,"A, Near Ballfield"," (-73.99409378515034,40.71127353708477)"
A,Near Ballfield,Big Bush Playground,Q,1,"A, Near Ballfield"," (-73.90238937963339,40.739216502180795)"
A,Near Ballfield,Cambria Playground,Q,1,"A, Near Ballfield"," (-73.74317444916903,40.689480827411586)"
C,"In Playground, Under Tree",Tremont Park,X,1,"C, In Playground, Under Tree"," (-73.89471522834255,40.84433373386693)"
A,In Playground,Playground Sixty Two LXII,Q,1,"A, In Playground"," (-73.8527634409574,40.73598175391945)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.83927505531747,40.74772589436168)"
E,"Out in Open, In Playground",Crotona Park,X,1,"E, Out in Open, In Playground"," (-73.90012295729882,40.83581680273347)"
E High Low,In Playground,Dr. Ronald E. McNair Playground,M,2,"E High Low, In Playground"," (-73.93799149011622,40.80252381503841)"
C,Under Tree,Burns Playground,X,1,"C, Under Tree"," (-73.83666187359309,40.862809666990245)"
Bottle Filler,"Near Ballfield, Just Outside Playground",James Weldon Johnson Playground,M,1,"Bottle Filler, Near Ballfield, Just Outside Playground"," (-73.94160240562599,40.79701195383362)"
Bottle Filler High Low,Near Ballfield,Conch Playground,Q,3,"Bottle Filler High Low, Near Ballfield"," (-73.78116617422221,40.59608097848428)"
A,Near Ballfield,Cunningham Park,Q,1,"A, Near Ballfield"," (-73.76446412373505,40.73967978692028)"
E High Low,In Playground,Paul Raimonda Playground,Q,2,"E High Low, In Playground"," (-73.89745984282882,40.77255741818322)"
A,"Under Tree, Out in Open",Bicentennial Veterans Memorial Park,X,1,"A, Under Tree, Out in Open"," (-73.81413047599146,40.823263474813736)"
A,,Riverdale Playground,X,1,"A,"," (-73.91480586729676,40.88770799351966)"
E,Under Tree,Sutton Parks,M,1,"E, Under Tree"," (-73.96242699019052,40.75499171211731)"
A,Out in Open,Franz Sigel Park,X,1,"A, Out in Open"," (-73.92665352030386,40.821961249020546)"
Trough High Low,Just Outside Playground,Soundview Park,X,2,"Trough High Low, Just Outside Playground"," (-73.87043101811011,40.81800242856259)"
Bottle Filler High Low,In Playground,Manhattan Beach Park,B,3,"Bottle Filler High Low, In Playground"," (-73.94655315897086,40.576392517417325)"
D,Near Ballfield,Centreville Playground,Q,1,"D, Near Ballfield"," (-73.83928027899518,40.670493715343824)"
CS Metal,In Playground,Bronx River Parkway,X,1,"CS Metal, In Playground"," (-73.87117720377651,40.87292830837411)"
C,"Out in Open, Near Ballfield",Behagen Playground,X,1,"C, Out in Open, Near Ballfield"," (-73.90124431066046,40.82602051848924)"
C,Out in Open,Pelham Bay Park,X,1,"C, Out in Open"," (-73.79347809753679,40.86804775814947)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.83788860467307,40.73267173398934)"
E High Low,Under Tree,St. Catherine's Park,M,2,"E High Low, Under Tree"," (-73.95854399610174,40.76521026435772)"
C,"Out in Open, Just Outside Playground",Rock Garden Park,X,1,"C, Out in Open, Just Outside Playground"," (-73.8849367503344,40.8355935427676)"
E,,J. Hood Wright Park,M,1,"E,"," (-73.94213522344255,40.846650582404784)"
C,In Playground,Taaffe Playground,B,1,"C, In Playground"," (-73.96074144642643,40.69591290512412)"
Double A,Out in Open,Pelham Bay Park,X,2,"Double A, Out in Open"," (-73.78629157888777,40.87033878363692)"
CS Concrete,In Playground,Riverside Park,M,1,"CS Concrete, In Playground"," (-73.96229734959523,40.81489100188376)"
A,Out in Open,Forest Park,Q,1,"A, Out in Open"," (-73.85277454393119,40.70076862940618)"
C,Out in Open,Flushing Meadows Corona Park,Q,1,"C, Out in Open"," (-73.84241709478401,40.751034320470005)"
C,Under Tree,Zimmerman Playground,X,1,"C, Under Tree"," (-73.86870571139609,40.866134794150256)"
Bottle Filler Fountain,Out in Open,Brooklyn Bridge Park,B,2,"Bottle Filler Fountain, Out in Open"," (-74.00168652977908,40.69231855146896)"
C,Just Outside Playground,Robert E. Venable Park,B,1,"C, Just Outside Playground"," (-73.8657494332076,40.67461412477116)"
CS Metal,Just_Outside_Playground,Bowne Playground,Q,2,"CS Metal, Just_Outside_Playground"," (-73.82475212967147,40.758026042617026)"
A,"Near Ballfield,Near_Ballfield",Isham Park,M,1,"A, Near Ballfield,Near_Ballfield"," (-73.92018417032382,40.87211387971474)"
A,"Under Tree, In Playground",Arverne Playground,Q,1,"A, Under Tree, In Playground"," (-73.78526279299034,40.59298881520792)"
D,Out in Open,Flushing Meadows Corona Park,Q,1,"D, Out in Open"," (-73.84518541207781,40.744147712948696)"
E and Dog,In Playground,Bellevue South Park,M,2,"E and Dog, In Playground"," (-73.9780546761505,40.74025275751712)"
Indoor Drinking Fountain,Indoor,Van Cortlandt Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.89651450189263,40.890476964431755)"
C,"Near Ballfield, In Playground",Carver Playground,B,1,"C, Near Ballfield, In Playground"," (-73.92037798365226,40.68005379816165)"
A,In Playground,Gen. Douglas MacArthur Park,R,1,"A, In Playground"," (-74.10095053575475,40.58568892656683)"
A,Out in Open,Inwood Hill Park,M,1,"A, Out in Open"," (-73.92952529477165,40.874279839414434)"
A,Out in Open,McKinley Park,B,1,"A, Out in Open"," (-74.01715711986482,40.62755186432435)"
Indoor Drinking Fountain,Indoor,Metropolitan Recreation Center,B,1,"Indoor Drinking Fountain, Indoor"," (-73.9603169539417,40.71501243277917)"
A,Out in Open,Bayswater Park,Q,1,"A, Out in Open"," (-73.76716652527739,40.59928904339863)"
C,Near Ballfield,Marconi Park,Q,1,"C, Near Ballfield"," (-73.79540198766784,40.6930865240528)"
Bottle Filler Fountain,Indoor,Marine Park,B,2,"Bottle Filler Fountain, Indoor"," (-73.93065246159898,40.60403182041112)"
E and Dog,Under Tree,Washington Square Park,M,2,"E and Dog, Under Tree"," (-73.99751797569215,40.73015890846366)"
E,In Playground,Forest Park,Q,1,"E, In Playground"," (-73.83576564528597,40.70963568821254)"
A,Near Ballfield,Willowbrook Park,R,1,"A, Near Ballfield"," (-74.15486448963243,40.60560056626247)"
E,"Under Tree, In Shade, Near Ballfield",Central Park,M,1,"E, Under Tree, In Shade, Near Ballfield"," (-73.96802288598582,40.78126997403916)"
E,,Brooklyn Botanic Garden,B,1,"E,"," (-73.96189777751778,40.664806287151045)"
Indoor Drinking Fountain,Indoor,Union Square Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.98991829107044,40.73643890926316)"
Bottle Filler High Low,In Playground,Eleanor Roosevelt Playground,B,3,"Bottle Filler High Low, In Playground"," (-73.93582212473594,40.692710015337326)"
D,Near Ballfield,McCarren Park,B,1,"D, Near Ballfield"," (-73.95325445489037,40.72145194873961)"
A,"Under Tree, In Playground",Howard Playground,B,1,"A, Under Tree, In Playground"," (-73.90783995910634,40.67170976732612)"
G,,Pelham Bay Park,X,1,"G,"," (-73.794671916583,40.86479176253761)"
B,"Under Tree, In Shade",Marion Hopkinson Playground,B,1,"B, Under Tree, In Shade"," (-73.91385599509749,40.68174065216383)"
D,"Under Tree, In Playground",Willets  Playground,Q,1,"D, Under Tree, In Playground"," (-73.79665152372691,40.78377355274987)"
E,In Playground,Forest Park,Q,1,"E, In Playground"," (-73.86787035259655,40.70259396762668)"
A,In Playground,Loreto Playground,X,1,"A, In Playground"," (-73.85206099221641,40.8489794117349)"
A,Out in Open,Franklin D. Roosevelt Boardwalk and Beach,R,1,"A, Out in Open"," (-74.08949809922173,40.56931621845291)"
B,In Playground,Hamilton Fish Park,M,1,"B, In Playground"," (-73.981157288543,40.72024247128618)"
E,In Playground,Jaime Campiz Playground,B,2,"E, In Playground"," (-73.95437159930931,40.71377825676779)"
A,"Under Tree, Near Ballfield, In Playground",Col. Young Playground,M,1,"A, Under Tree, Near Ballfield, In Playground"," (-73.93637211700397,40.81945106048178)"
CS Concrete,Just Outside Playground,Prospect Park,B,1,"CS Concrete, Just Outside Playground"," (-73.96355457149188,40.66049795350503)"
F High Low,In Playground,Patrick O'Rourke Playground,B,2,"F High Low, In Playground"," (-74.0143573544725,40.619144012161904)"
E,"Under Tree, Out in Open",Central Park,M,1,"E, Under Tree, Out in Open"," (-73.96437172972871,40.79104069712919)"
A,"Out in Open, Near Ballfield",Bushwick Playground,B,1,"A, Out in Open, Near Ballfield"," (-73.912981820996,40.69590065857901)"
A,"Under Tree, Out in Open, In Shade",Callahan-Kelly Playground,B,1,"A, Under Tree, Out in Open, In Shade"," (-73.90572705276071,40.67842823980348)"
